,Return,Sequence,Label,Time
101037,-0.9242522,0,0,09:30
101184,0.1322358,0,0,09:30
101237,-0.5216238,0,0,09:30
101258,0.0937682,0,0,09:30
101786,-0.089209526,0,0,09:30
101796,0.673737576,0,0,09:30
101946,0.6830651,0,0,09:30
102107,-0.4473869,0,0,09:30
102113,0.06934,0,0,09:30
102233,-0.3297117,0,0,09:30
102374,0.7508536,0,0,09:30
102448,-0.2605027,0,0,09:30
102855,-0.1675525,0,0,09:30
102958,-0.1662683,0,0,09:30
103121,0.289981,0,0,09:30
103135,0.3023772,0,0,09:30
103606,-0.299263,0,0,09:30
103640,0.6319899,0,0,09:30
103717,-0.0078122,0,0,09:30
103929,-1.0350251,0,0,09:30
103949,-0.1177376,0,0,09:30
104113,0.3655528,0,0,09:30
104630,0.0252046,0,0,09:30
104724,-0.1670024,0,0,09:30
104760,0.3043275,0,0,09:30
105173,-0.77125842,0,0,09:30
105516,-0.140205635,0,0,09:30
105596,-0.7828973,0,0,09:30
105735,0.3801911,0,0,09:30
105855,-0.1517284,0,0,09:30
105956,-0.0114117,0,0,09:30
105999,-0.166193,0,0,09:30
106089,0.3103781,0,0,09:30
106172,-0.3030091,0,0,09:30
106206,0.0649452,0,0,09:30
106319,-0.112170499,0,0,09:30
106677,0.5776988,0,0,09:30
50,0.451630386,1,0,09:32
68,0.534304578,1,0,09:32
1348,-1.316388236,1,0,09:32
1403,0.054039281,1,0,09:32
1566,-0.070082023,1,0,09:32
1673,-0.469697587,1,0,09:32
1736,-0.088527991,1,0,09:32
1825,0.107954391,1,0,09:32
1937,-0.433880674,1,0,09:32
2000,0.8692999,1,0,09:32
2014,-0.192778328,1,0,09:32
2544,0.408869319,1,0,09:32
2587,-0.891890498,1,0,09:32
3222,-0.706977699,1,0,09:32
3444,0.587499526,1,0,09:32
3710,0.090042189,1,0,09:32
3761,0.956699921,1,0,09:32
3774,0.3800067,1,0,09:32
4067,-0.194548303,1,0,09:32
4091,0.44745652,1,0,09:32
4094,-0.669791779,1,0,09:32
4526,0.027831895,1,0,09:32
4699,0.217672322,1,0,09:32
4719,0.235876819,1,0,09:32
4841,-1.093790093,1,0,09:32
4872,-0.052201427,1,0,09:32
5248,-0.270554387,1,0,09:32
6059,0.028681353,1,0,09:32
6326,0.588991081,1,0,09:32
6512,0.183331221,1,0,09:32
6526,-0.621387782,1,0,09:32
6811,0.411108619,1,0,09:32
6983,-0.108830354,1,0,09:32
7538,0.045313309,1,0,09:32
7898,-0.352271701,1,0,09:32
8239,-0.321604875,1,0,09:32
8368,-0.648280756,1,0,09:32
8532,0.409415485,1,0,09:32
8714,-0.00073006,1,0,09:32
8741,-0.567938851,1,0,09:32
9047,-0.544628788,1,0,09:32
9306,-0.189594602,1,0,09:32
9336,0.364336567,1,0,09:32
9672,-0.850788825,1,0,09:32
9752,0.271428351,1,0,09:32
9865,-0.639710211,1,0,09:32
9870,-0.509690776,1,0,09:32
10302,-1.376650743,1,0,09:32
10323,-0.001199675,1,0,09:32
10457,-1.476919843,1,0,09:32
10876,0.691204622,1,0,09:32
11136,0.226633011,1,0,09:32
11279,-0.138968015,1,0,09:32
11476,0.307335677,1,0,09:32
11757,-0.806444934,1,0,09:32
11862,-1.207949829,1,0,09:32
12113,0.315849054,1,0,09:32
12207,0.122538293,1,0,09:32
12209,-0.61514553,1,0,09:32
12219,-0.764650173,1,0,09:32
12228,1.040688895,1,0,09:32
12234,0.308080621,1,0,09:32
12356,0.204902111,1,0,09:32
12741,1.303980614,1,0,09:32
12848,0.385367446,1,0,09:32
12882,-0.296657294,1,0,09:32
12964,-0.313547411,1,0,09:32
13111,-0.223617442,1,0,09:32
13351,1.036199704,1,0,09:32
13483,0.70248145,1,0,09:32
13606,-0.771085651,1,0,09:32
13690,0.154142809,1,0,09:32
13967,-1.240284886,1,0,09:32
14058,-0.021680442,1,0,09:32
14312,-0.629345481,1,0,09:32
14320,-1.742416642,1,0,09:32
14769,-0.060534078,1,0,09:32
15034,0.27422634,1,0,09:32
15071,0.379169865,1,0,09:32
15087,-0.164235346,1,0,09:32
15600,0.447241236,1,0,09:32
15678,-1.033173981,1,0,09:32
15709,-0.993279353,1,0,09:32
15800,-0.586760681,1,0,09:32
15902,-0.00471587,1,0,09:32
16030,-0.911446426,1,0,09:32
16449,-0.534933255,1,0,09:32
16669,0.378997263,1,0,09:32
16730,-0.19636126,1,0,09:32
16949,0.186808575,1,0,09:32
17123,-0.051319643,1,0,09:32
17188,-1.141334426,1,0,09:32
17226,-0.153699991,1,0,09:32
17441,0.18791907,1,0,09:32
17771,1.087367625,1,0,09:32
17920,-0.184987784,1,0,09:32
18102,1.136921315,1,0,09:32
18631,0.239402884,1,0,09:32
19044,0.609071053,1,0,09:32
19477,-0.422998662,1,0,09:32
19691,0.733886679,1,0,09:32
19930,-1.052991014,1,0,09:32
19939,0.39143337,1,0,09:32
20056,-0.311242796,1,0,09:32
20973,0.178869942,1,0,09:32
21082,0.551339751,1,0,09:32
21366,0.322111388,1,0,09:32
21695,0.561614002,1,0,09:32
21737,-1.319931321,1,0,09:32
21761,0.286938175,1,0,09:32
21796,1.074602321,1,0,09:32
22121,0.07709231,1,0,09:32
22257,-0.340943168,1,0,09:32
22457,-1.188912198,1,0,09:32
22569,-0.779631741,1,0,09:32
22673,1.36407213,1,0,09:32
22737,0.512829354,1,0,09:32
23000,0.074026891,1,0,09:32
23198,0.064713284,1,0,09:32
23362,-0.704030855,1,0,09:32
23666,0.276339913,1,0,09:32
23756,0.002620185,1,0,09:32
23915,0.630494239,1,0,09:32
24308,0.020301185,1,0,09:32
25181,0.525629887,1,0,09:32
25379,-0.187848428,1,0,09:32
25855,-0.410773547,1,0,09:32
25962,0.273130817,1,0,09:32
26057,0.303797558,1,0,09:32
26133,-0.342123918,1,0,09:32
26329,-0.6507537,1,0,09:32
26355,-0.968560595,1,0,09:32
26513,0.584332717,1,0,09:32
26576,-0.39659323,1,0,09:32
26773,-0.209306903,1,0,09:32
26922,0.503424712,1,0,09:32
27090,-0.243484619,1,0,09:32
27116,-0.31691227,1,0,09:32
27837,1.382758033,1,0,09:32
27935,0.29440503,1,0,09:32
27991,-0.101954874,1,0,09:32
28120,-0.036654112,1,0,09:32
28415,1.106550113,1,0,09:32
28541,-0.046663813,1,0,09:32
28578,-0.13494515,1,0,09:32
28596,-1.779801325,1,0,09:32
28635,0.995035497,1,0,09:32
28734,-0.242556805,1,0,09:32
28767,-0.113519466,1,0,09:32
28912,-0.241852521,1,0,09:32
29757,-0.381718827,1,0,09:32
29870,-0.183225322,1,0,09:32
30156,0.154483303,1,0,09:32
30309,0.613061482,1,0,09:32
30465,0.990799717,1,0,09:32
30618,0.407834745,1,0,09:32
30642,-0.74655046,1,0,09:32
30649,-0.233077065,1,0,09:32
30664,0.104474386,1,0,09:32
31080,-0.855633649,1,0,09:32
31158,0.050791221,1,0,09:32
31202,0.815923683,1,0,09:32
31466,-0.808062198,1,0,09:32
32389,0.572640509,1,0,09:32
32512,1.159932733,1,0,09:32
33425,-0.081328124,1,0,09:32
33579,1.707096827,1,0,09:32
33609,-0.030011799,1,0,09:32
33704,-0.565913154,1,0,09:32
33860,-0.229635643,1,0,09:32
34441,-0.616681409,1,0,09:32
34647,0.554160753,1,0,09:32
35088,0.525727609,1,0,09:32
35242,0.309687718,1,0,09:32
35247,0.755980492,1,0,09:32
35542,-0.81314546,1,0,09:32
36087,-0.005532128,1,0,09:32
36515,-0.112747378,1,0,09:32
36667,0.461626776,1,0,09:32
36758,0.341860168,1,0,09:32
36764,-0.190610877,1,0,09:32
36807,-0.554598019,1,0,09:32
37038,-0.975166238,1,0,09:32
37362,-0.487016845,1,0,09:32
37407,0.09199041,1,0,09:32
37437,-0.457144605,1,0,09:32
37647,0.602954288,1,0,09:32
37721,0.793101278,1,0,09:32
37816,0.915742921,1,0,09:32
37832,-0.609994771,1,0,09:32
37964,0.538277512,1,0,09:32
38045,0.086713556,1,0,09:32
38146,-0.402386685,1,0,09:32
38206,-0.117936223,1,0,09:32
38332,0.310394287,1,0,09:32
38379,1.270005163,1,0,09:32
38599,1.047845854,1,0,09:32
38663,0.094678377,1,0,09:32
38904,0.128668197,1,0,09:32
38910,0.230934761,1,0,09:32
39017,0.10799401,1,0,09:32
39056,-0.271566108,1,0,09:32
39508,-0.47031996,1,0,09:32
39602,0.136062236,1,0,09:32
40061,0.699356272,1,0,09:32
40065,0.779650619,1,0,09:32
40171,0.135851583,1,0,09:32
40283,0.117575044,1,0,09:32
40459,0.156890279,1,0,09:32
40837,-0.140792801,1,0,09:32
41010,-0.541755525,1,0,09:32
41534,-0.588250475,1,0,09:32
41597,-0.257698787,1,0,09:32
41889,1.497464511,1,0,09:32
42972,0.564173635,1,0,09:32
43221,0.888525253,1,0,09:32
43355,0.538814002,1,0,09:32
43727,-0.948925852,1,0,09:32
44282,-0.002496332,1,0,09:32
44566,-0.192579933,1,0,09:32
44651,0.026783748,1,0,09:32
44681,-0.911963883,1,0,09:32
44984,-0.006064697,1,0,09:32
45001,-0.297999278,1,0,09:32
45335,-0.33343938,1,0,09:32
45343,-0.118924242,1,0,09:32
45487,0.087935145,1,0,09:32
45897,-1.767222935,1,0,09:32
46306,1.245259698,1,0,09:32
46588,-0.971491645,1,0,09:32
46707,0,1,0,09:32
46808,-0.338694092,1,0,09:32
47214,1.328726642,1,0,09:32
47442,0.235507856,1,0,09:32
47578,1.029746713,1,0,09:32
47612,1.272859767,1,0,09:32
48411,0.564661454,1,0,09:32
49429,-0.758016062,1,0,09:32
49465,-0.107705387,1,0,09:32
49707,-1.086836034,1,0,09:32
49997,0.06157214,1,0,09:32
50023,0.792761457,1,0,09:32
50891,-1.603955408,1,0,09:32
50894,0.179746529,1,0,09:32
51048,0.274279464,1,0,09:32
51122,-0.549480144,1,0,09:32
51158,0.169120562,1,0,09:32
51536,0.310906861,1,0,09:32
51923,-0.403503081,1,0,09:32
51968,-0.063487496,1,0,09:32
52186,0.153752485,1,0,09:32
52411,0.05774185,1,0,09:32
52424,1.013818933,1,0,09:32
52552,-0.246421238,1,0,09:32
52599,0.643776824,1,0,09:32
52663,1.371737128,1,0,09:32
52763,0.505441705,1,0,09:32
52801,0.386779184,1,0,09:32
53478,-0.396624767,1,0,09:32
54073,0.837671068,1,0,09:32
54156,0.625687785,1,0,09:32
54504,0.185400684,1,0,09:32
54574,-0.277132119,1,0,09:32
54685,-0.03166484,1,0,09:32
54953,-0.252483736,1,0,09:32
55270,-0.485958553,1,0,09:32
55283,0.234158933,1,0,09:32
55476,1.027297807,1,0,09:32
55530,1.116030253,1,0,09:32
55547,-0.483801076,1,0,09:32
55676,0.437058345,1,0,09:32
55694,-0.641959948,1,0,09:32
55723,-0.564537451,1,0,09:32
56144,-0.455942592,1,0,09:32
56254,-0.279284164,1,0,09:32
56349,0.272684047,1,0,09:32
56354,-0.138764321,1,0,09:32
56374,-1.347635234,1,0,09:32
56437,-1.629531094,1,0,09:32
56469,-1.52487155,1,0,09:32
56635,-0.34469283,1,0,09:32
56786,0.493913671,1,0,09:32
57045,-0.554962383,1,0,09:32
57181,-0.691153662,1,0,09:32
57423,0.281606492,1,0,09:32
57599,0.260978391,1,0,09:32
57866,1.091643308,1,0,09:32
58008,-0.052554988,1,0,09:32
87426,-0.754291458,1,0,09:32
87547,-0.657937594,1,0,09:32
87952,-0.789369228,1,0,09:32
88025,-0.28715233,1,0,09:32
88250,-0.470056368,1,0,09:32
88478,0.528923948,1,0,09:32
88671,0,1,0,09:32
88874,-0.382274201,1,0,09:32
89176,-0.036966437,1,0,09:32
89270,-0.49302165,1,0,09:32
89286,0.717868924,1,0,09:32
89360,0.037676395,1,0,09:32
89467,0.011404045,1,0,09:32
89547,-0.758347007,1,0,09:32
89731,-0.75885398,1,0,09:32
89901,-0.385457073,1,0,09:32
90570,0.770657533,1,0,09:32
90590,0.401514282,1,0,09:32
90761,0.207966277,1,0,09:32
90958,0.693472834,1,0,09:32
91085,0.150723644,1,0,09:32
91295,0.828990725,1,0,09:32
91354,-0.241066911,1,0,09:32
92002,0.111444492,1,0,09:32
92108,0.481675862,1,0,09:32
92186,0.358006447,1,0,09:32
92304,0.260447732,1,0,09:32
92393,0.346427074,1,0,09:32
92536,0.0946063,1,0,09:32
92985,-0.454510387,1,0,09:32
93005,0.830425851,1,0,09:32
93434,0.292652466,1,0,09:32
93443,-0.695530726,1,0,09:32
93693,0.37079081,1,0,09:32
93948,0.484020806,1,0,09:32
93951,-0.451240232,1,0,09:32
94148,-0.502777523,1,0,09:32
94530,0.243642212,1,0,09:32
94553,0.025306846,1,0,09:32
94725,0.46452425,1,0,09:32
95213,0.155835575,1,0,09:32
95873,-0.165438239,1,0,09:32
95983,-0.27219854,1,0,09:32
96648,0.726227605,1,0,09:32
96746,-0.011066067,1,0,09:32
96788,-0.084777626,1,0,09:32
97134,0.219475504,1,0,09:32
97140,1.150652715,1,0,09:32
97250,0.168266638,1,0,09:32
97258,0.673557714,1,0,09:32
97291,0.965557475,1,0,09:32
97424,-0.544691012,1,0,09:32
97517,0.683434062,1,0,09:32
97613,0.345575893,1,0,09:32
97966,0.167705146,1,0,09:32
98067,-0.352816533,1,0,09:32
98123,-0.558587364,1,0,09:32
98135,0.650425866,1,0,09:32
98137,-1.236660631,1,0,09:32
98492,-0.128703233,1,0,09:32
98699,-1.218869212,1,0,09:32
98804,0.761606706,1,0,09:32
98822,-1.299688739,1,0,09:32
99401,-1.13302706,1,0,09:32
99422,0.083813939,1,0,09:32
99964,1.227457275,1,0,09:32
100024,-0.328874098,1,0,09:32
100236,0.42824102,1,0,09:32
100254,0.778939129,1,0,09:32
100324,-0.019941156,1,0,09:32
100374,0.997358745,1,0,09:32
100471,0.262902051,1,0,09:32
100508,-0.069627276,1,0,09:32
100513,0.343285891,1,0,09:32
100684,-0.069415308,1,0,09:32
100727,-0.670866424,1,0,09:32
100902,0.073995153,1,0,09:32
101444,-0.19306155,1,0,09:32
101760,0.467644692,1,0,09:32
101768,0.018303955,1,0,09:32
101993,0.147986102,1,0,09:32
102084,-0.027804234,1,0,09:32
102092,-0.064358749,1,0,09:32
102128,0.403804139,1,0,09:32
102347,0.870966947,1,0,09:32
103388,0.257395382,1,0,09:32
103390,0.350369381,1,0,09:32
103504,0.611487954,1,0,09:32
103604,-0.053924708,1,0,09:32
103643,0.638884856,1,0,09:32
103710,0.245245821,1,0,09:32
103739,-0.916518646,1,0,09:32
104065,0.395377288,1,0,09:32
104114,0.490066741,1,0,09:32
104380,-1.027752612,1,0,09:32
105084,0,1,0,09:32
105324,-0.952019229,1,0,09:32
105570,-0.097156253,1,0,09:32
105618,0.057808546,1,0,09:32
105753,-0.996894135,1,0,09:32
105833,0.046711306,1,0,09:32
106100,-0.045878575,1,0,09:32
106494,0.213012616,1,0,09:32
106511,-0.057458174,1,0,09:32
106679,-0.156175759,1,0,09:32
114,0.003099846,2,0,09:34
194,-1.671554257,2,0,09:34
305,0.323038583,2,0,09:34
489,0.922035677,2,0,09:34
809,0.239806746,2,0,09:34
812,0.061083193,2,0,09:34
1142,0.260908476,2,0,09:34
1468,-0.208768919,2,0,09:34
1615,0.11088072,2,0,09:34
1794,-0.249502537,2,0,09:34
1853,-0.384588485,2,0,09:34
1985,0.765155454,2,0,09:34
2060,1.031912141,2,0,09:34
2061,-0.403773492,2,0,09:34
2117,0.520284616,2,0,09:34
2290,-0.159699816,2,0,09:34
2559,0.284252848,2,0,09:34
2617,0.45177701,2,0,09:34
2750,-0.404920822,2,0,09:34
3029,1.183731172,2,0,09:34
3071,0.078636959,2,0,09:34
3072,0.580469425,2,0,09:34
